model,subset,wer,cer,n_utterances
ft_cpt_validated,test,1.19,0.19,2296
ft_cpt_validated,test_spont,13.61,1.73,360
ft_cpt_silver,test,2.11,0.30,2296
ft_cpt_silver,test_spont,3.15,0.41,360
ft_xlsr_validated,test,2.06,0.30,2296
ft_xlsr_validated,test_spont,13.58,1.71,360
ft_xlsr_silver,test,4.36,0.57,2296
ft_xlsr_silver,test_spont,6.68,0.81,360
omniASR_LLM_300M_v2,test,7.07,0.89,2299
omniASR_LLM_300M_v2,test_spont,11.98,1.54,367
omniASR_CTC_300M_v2,test,24.47,3.05,2299
omniASR_CTC_300M_v2,test_spont,20.22,2.43,367
